path[POSIX]	Subject	Experiment	Date	Time	Run	size[bytes]	checksum[md5]	url
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S26_INTEXT01_190104_1006_1_c,rfDC,meeg,ar-raw.fif	S26	INTEXT01-AR	2019-01-04	10:06	1.0	525266337	665faf31d25e8572ab2204555a33c0b3	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S26_INTEXT01_190104_1006_1_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S30_INTEXT01_190124_1409_1_c,rfDC,meeg,ar-raw.fif	S30	INTEXT01-AR	2019-01-24	14:09	1.0	542464881	0d8f82b2bc6c4bc20469a51965350c8f	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S30_INTEXT01_190124_1409_1_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S10_INTEXT01_180329_1020_2_c,rfDC,meeg,ar-raw.fif	S10	INTEXT01-AR	2018-03-29	10:20	2.0	537964485	3c07579ce1873b014589027cb9b0c788	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S10_INTEXT01_180329_1020_2_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S23_INTEXT01_181127_1111_1_c,rfDC,meeg,ar-raw.fif	S23	INTEXT01-AR	2018-11-27	11:11	1.0	352748343	9d73d5ebb6815e41fc97c47de423af33	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S23_INTEXT01_181127_1111_1_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S40_INTEXT01_190507_1411_1_c,rfDC,meeg,ar-raw.fif	S40	INTEXT01-AR	2019-05-07	14:11	1.0	527514089	85289b0fe9ad4b258bbfa69a49bdd5e9	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S40_INTEXT01_190507_1411_1_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S12_INTEXT01_180418_1115_2_c,rfDC,meeg,ar-raw.fif	S12	INTEXT01-AR	2018-04-18	11:15	2.0	342303667	cd5c2d835ee51d888e9ffedf308e9ca2	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S12_INTEXT01_180418_1115_2_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S19_INTEXT01_181114_1015_5_c,rfDC,meeg,ar-raw.fif	S19	INTEXT01-AR	2018-11-14	10:15	5.0	530600685	951d9acf1cf15f8b43c4c1f2fd7ae4d4	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S19_INTEXT01_181114_1015_5_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S02_INTEXT01_180123_1013_7_c,rfDC,meeg,ar-raw.fif	S02	INTEXT01-AR	2018-01-23	10:13	7.0	611990367	ff3e58486aa32a887b20239c319fd997	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S02_INTEXT01_180123_1013_7_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S18_INTEXT01_181113_1002_5_c,rfDC,meeg,ar-raw.fif	S18	INTEXT01-AR	2018-11-13	10:02	5.0	522768021	21d6879bf2d5a896a4e5144923d5ddb3	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S18_INTEXT01_181113_1002_5_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S37_INTEXT01_190405_1102_2_c,rfDC,meeg,ar-raw.fif	S37	INTEXT01-AR	2019-04-05	11:02	2.0	353202151	8e7efa33d13468260fa8adf1da38652f	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S37_INTEXT01_190405_1102_2_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S38_INTEXT01_190412_1105_2_c,rfDC,meeg,ar-raw.fif	S38	INTEXT01-AR	2019-04-12	11:05	2.0	349791711	0ab0759479a60857eb75c5793543ca82	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S38_INTEXT01_190412_1105_2_c,rfDC,meeg,ar-raw.fif
MEG_data/INTEXT-MEG/INTEXT01/INTEXT01-AR/S07_INTEXT01_180314_1005_1_c,rfDC,meeg,ar-raw.fif	S07	INTEXT01-AR	2018-03-14	10:05	1.0	540186777	cf68c2cca67b1fd11ec34178c291f2ce	\inmfilesrv3.ime.kfa-juelich.de\KogNeuro04\ComputationalNeurology\MEG_IntExt_Catalogue\MEG_data\INTEXT-MEG\INTEXT01\INTEXT01-AR\S07_INTEXT01_180314_1005_1_c,rfDC,meeg,ar-raw.fif
